Date,Beds,Unit,SqFt,Price
2015-03-18T23:34:06.391084,1,1707,690,3544
2015-03-18T23:34:06.391084,1,1604,750,3565
2015-03-18T23:34:06.391084,1,1415,716,3450
2015-03-18T23:34:06.391084,1,603,714,3355
2015-03-18T23:34:06.391084,1,408,716,3162
2015-03-18T23:34:06.391084,1,513,716,3417
2015-03-18T23:34:06.391084,1,403,725,3255
2015-03-18T23:34:06.391084,1,1711,1004,4108
2015-03-18T23:34:06.391084,2,1704,855,4770
2015-03-18T23:34:06.391084,2,809,855,4225
2015-03-18T23:34:06.391084,2,911,946,4335
2015-03-18T23:34:06.391084,2,1601,950,4941
2015-03-18T23:34:06.391084,2,401,950,4416
2015-03-18T23:34:06.391084,2,501,950,4611
2015-03-18T23:34:06.391084,2,601,950,4541
2015-03-18T23:34:06.391084,2,515,986,4845
2015-03-18T23:34:06.391084,2,407,986,4725
2015-03-18T23:34:06.391084,2,713,1195,4940
2015-03-18T23:34:06.391084,2,1405,1195,4890
2015-03-18T23:34:06.391084,2,1702,1195,5545
2015-03-18T23:34:06.391084,2,302,1138,4519
2015-03-18T23:34:06.391084,2,1116,1104,4799
2015-03-18T23:34:06.391084,2,320,1138,4444
2015-03-18T23:34:06.391084,2,502,1104,4824
2015-03-18T23:34:06.391084,0,306,528,3030
2015-03-18T23:34:06.391084,0,612,587,2935
2015-03-18T23:34:06.391084,0,712,587,3300
2015-03-20T01:16:52.973681,1,1707,690,3454
2015-03-20T01:16:52.973681,1,1604,750,3480
2015-03-20T01:16:52.973681,1,1415,716,3365
2015-03-20T01:16:52.973681,1,603,714,3255
2015-03-20T01:16:52.973681,1,408,716,3077
2015-03-20T01:16:52.973681,1,313,716,3127
2015-03-20T01:16:52.973681,1,513,716,3317
2015-03-20T01:16:52.973681,1,403,725,3170
2015-03-20T01:16:52.973681,1,1711,1004,4018
2015-03-20T01:16:52.973681,2,1704,855,4630
2015-03-20T01:16:52.973681,2,809,855,4090
2015-03-20T01:16:52.973681,2,911,946,4195
2015-03-20T01:16:52.973681,2,1601,950,4801
2015-03-20T01:16:52.973681,2,401,950,4276
2015-03-20T01:16:52.973681,2,501,950,4471
2015-03-20T01:16:52.973681,2,601,950,4406
2015-03-20T01:16:52.973681,2,515,986,4710
2015-03-20T01:16:52.973681,2,407,986,4590
2015-03-20T01:16:52.973681,2,713,1195,4800
2015-03-20T01:16:52.973681,2,1405,1195,4750
2015-03-20T01:16:52.973681,2,1702,1195,5410
2015-03-20T01:16:52.973681,2,302,1138,4379
2015-03-20T01:16:52.973681,2,1116,1104,4659
2015-03-20T01:16:52.973681,2,320,1138,4304
2015-03-20T01:16:52.973681,2,502,1104,4689
2015-03-20T01:16:52.973681,0,306,528,3040
2015-03-20T01:16:52.973681,0,612,587,2935
2015-03-20T01:16:52.973681,0,712,587,3300
2015-03-20T01:22:22.072379,1,1707,690,3454
2015-03-20T01:22:22.072379,1,1604,750,3480
2015-03-20T01:22:22.072379,1,1415,716,3365
2015-03-20T01:22:22.072379,1,603,714,3255
2015-03-20T01:22:22.072379,1,408,716,3077
2015-03-20T01:22:22.072379,1,313,716,3127
2015-03-20T01:22:22.072379,1,513,716,3317
2015-03-20T01:22:22.072379,1,403,725,3170
2015-03-20T01:22:22.072379,1,1711,1004,4018
2015-03-20T01:22:22.072379,2,1704,855,4630
2015-03-20T01:22:22.072379,2,809,855,4090
2015-03-20T01:22:22.072379,2,911,946,4195
2015-03-20T01:22:22.072379,2,1601,950,4801
2015-03-20T01:22:22.072379,2,401,950,4276
2015-03-20T01:22:22.072379,2,501,950,4471
2015-03-20T01:22:22.072379,2,601,950,4406
2015-03-20T01:22:22.072379,2,515,986,4710
2015-03-20T01:22:22.072379,2,407,986,4590
2015-03-20T01:22:22.072379,2,713,1195,4800
2015-03-20T01:22:22.072379,2,1405,1195,4750
2015-03-20T01:22:22.072379,2,1702,1195,5410
2015-03-20T01:22:22.072379,2,302,1138,4379
2015-03-20T01:22:22.072379,2,1116,1104,4659
2015-03-20T01:22:22.072379,2,320,1138,4304
2015-03-20T01:22:22.072379,2,502,1104,4689
2015-03-20T01:22:22.072379,0,306,528,3040
2015-03-20T01:22:22.072379,0,612,587,2935
2015-03-20T01:22:22.072379,0,712,587,3300
2015-03-20T09:15:12.086257,1,1707,690,3449
2015-03-20T09:15:12.086257,1,1604,750,3480
2015-03-20T09:15:12.086257,1,1415,716,3365
2015-03-20T09:15:12.086257,1,603,714,3255
2015-03-20T09:15:12.086257,1,408,716,3077
2015-03-20T09:15:12.086257,1,313,716,3127
2015-03-20T09:15:12.086257,1,513,716,3317
2015-03-20T09:15:12.086257,1,1711,1004,4013
2015-03-20T09:15:12.086257,2,1704,855,4630
2015-03-20T09:15:12.086257,2,809,855,4090
2015-03-20T09:15:12.086257,2,911,946,4195
2015-03-20T09:15:12.086257,2,1601,950,4801
2015-03-20T09:15:12.086257,2,401,950,4276
2015-03-20T09:15:12.086257,2,501,950,4471
2015-03-20T09:15:12.086257,2,601,950,4406
2015-03-20T09:15:12.086257,2,515,986,4710
2015-03-20T09:15:12.086257,2,407,986,4590
2015-03-20T09:15:12.086257,2,1405,1195,4750
2015-03-20T09:15:12.086257,2,713,1195,4800
2015-03-20T09:15:12.086257,2,1702,1195,5410
2015-03-20T09:15:12.086257,2,302,1138,4379
2015-03-20T09:15:12.086257,2,1116,1104,4659
2015-03-20T09:15:12.086257,2,320,1138,4304
2015-03-20T09:15:12.086257,2,502,1104,4689
2015-03-20T09:15:12.086257,0,306,528,3040
2015-03-20T09:15:12.086257,0,612,587,2935
2015-03-20T09:15:12.086257,0,712,587,3300
2015-03-21T00:25:24.808777,1,1707,690,3449
2015-03-21T00:25:24.808777,1,1604,750,3480
2015-03-21T00:25:24.808777,1,1415,716,3365
2015-03-21T00:25:24.808777,1,603,714,3255
2015-03-21T00:25:24.808777,1,408,716,3077
2015-03-21T00:25:24.808777,1,313,716,3127
2015-03-21T00:25:24.808777,1,513,716,3317
2015-03-21T00:25:24.808777,1,1711,1004,4013
2015-03-21T00:25:24.808777,2,1704,855,4630
2015-03-21T00:25:24.808777,2,809,855,4090
2015-03-21T00:25:24.808777,2,911,946,4195
2015-03-21T00:25:24.808777,2,1601,950,4801
2015-03-21T00:25:24.808777,2,401,950,4276
2015-03-21T00:25:24.808777,2,501,950,4471
2015-03-21T00:25:24.808777,2,601,950,4406
2015-03-21T00:25:24.808777,2,515,986,4710
2015-03-21T00:25:24.808777,2,407,986,4590
2015-03-21T00:25:24.808777,2,1405,1195,4750
2015-03-21T00:25:24.808777,2,713,1195,4800
2015-03-21T00:25:24.808777,2,1702,1195,5410
2015-03-21T00:25:24.808777,2,302,1138,4379
2015-03-21T00:25:24.808777,2,1116,1104,4659
2015-03-21T00:25:24.808777,2,320,1138,4304
2015-03-21T00:25:24.808777,2,502,1104,4689
2015-03-21T00:25:24.808777,0,306,528,3040
2015-03-21T00:25:24.808777,0,612,587,2935
2015-03-21T00:25:24.808777,0,712,587,3300
2015-03-21T22:43:15.374298,1,1707,690,3439
2015-03-21T22:43:15.374298,1,1604,750,3480
2015-03-21T22:43:15.374298,1,1415,716,3365
2015-03-21T22:43:15.374298,1,603,714,3240
2015-03-21T22:43:15.374298,1,408,716,3077
